fw,step,temp,richness,stability,biomass
1.0,1.0,297.0748637853949,20.0,1.980722350596936e-6,0.4368621710307926
1.0,2.0,292.3364140546048,19.0,2.4669425229966825e-7,2.6663646006400605
1.0,3.0,293.4413548509068,19.0,6.9786272647201425e-9,2.7490257999581678
1.0,4.0,296.5569168313473,18.0,0.00036122830969303793,2.964985797653686
1.0,5.0,299.723290257661,18.0,1.0066211651116781e-10,2.9128208349674733
1.0,6.0,300.6026139888924,18.0,2.6337485443312466e-10,2.920360262219476
1.0,7.0,299.7004834804851,17.0,4.3455611914168863e-10,2.912523111840807
1.0,8.0,297.95164918932795,16.0,0.0004038332227065036,2.7966239001267423
1.0,9.0,303.27943005485463,16.0,2.8950159030443577e-11,2.8839363377972775
1.0,10.0,303.77171579693385,16.0,2.5542598739494628e-11,2.878646246993394
1.0,11.0,308.83416031866955,15.0,5.558939996733345e-13,2.456752778431173
1.0,12.0,307.1076903719884,15.0,5.5445505368541e-12,2.681062936312931
1.0,13.0,307.18813455632056,15.0,1.7898575024748723e-12,2.6728186327194092
1.0,14.0,309.2817098268342,15.0,2.9234005279006176e-11,2.3793310783189296
1.0,15.0,302.899705097342,15.0,2.0446361300165948e-11,2.900596098504764
1.0,16.0,307.76924371540105,15.0,2.643060330780711e-12,2.607531955309463
1.0,17.0,314.05483260583543,10.0,1.7306454587781742e-15,1.5407387415493932
1.0,18.0,313.5700832520507,10.0,3.825921434279878e-12,1.603550800318058
1.0,19.0,312.6407582063303,10.0,3.5280533363878302e-12,1.7338013226407887
1.0,20.0,313.6376365665007,10.0,5.2025111525042595e-12,1.5945499189368817
2.0,1.0,297.0748637853949,28.0,2.5153564000373312e-5,2.7357782745905674
2.0,2.0,292.3364140546048,26.0,7.261747785311643e-7,4.67899124844667
2.0,3.0,293.4413548509068,26.0,3.137001549181819e-10,4.600792807604018
2.0,4.0,296.5569168313473,26.0,8.548397639811082e-5,4.9312455406389955
2.0,5.0,299.723290257661,26.0,5.7587453470143566e-5,5.044111109587097
